Year,Origin,Dest,count
1989,HNL,LAX,52
1989,ORD,PDX,20
1989,LAX,DEN,5
1991,BOS,ROC,15
1994,SYR,PIT,14
1994,ERI,PIT,25
1999,SJU,PHL,84
2003,ORD,BDL,7
2004,LAS,DEN,5
2007,BWI,MCO,2
2007,LAS,SJC,4
2007,MDW,JAN,1
2008,MCO,BNA,4
2008,SEA,OAK,7
1991,SFO,CLE,1
1991,PIT,BWI,20
1992,SMF,LAX,9
2006,PHL,PWM,1
2008,OKC,LAS,1
2008,ONT,BNA,1
1991,DAY,FNT,12
1994,FLL,TPA,3
1995,ORF,PHL,33
2003,ORD,MSP,14
2004,SEA,ORD,26
2007,BHM,PHX,1
2007,CLE,BWI,3
2007,MDW,HOU,5
1991,BUF,EWR,15
2002,CLE,CLT,13
2006,DCA,LGA,16
2006,MHT,PHL,2
2006,PHL,DFW,2
2007,STL,DAL,3
2008,IND,PHX,1
2008,LAS,SNA,4
1991,TLH,MCO,2
1993,JAX,PHL,5
2002,PHL,STL,18
2004,IAH,DEN,10
2005,ATL,ORD,7
2005,MSP,DEN,5
2007,BHM,JAX,1
2008,ISP,BWI,5
2008,OAK,SLC,4
2008,ORF,JAX,2
1989,FLL,ORD,1
1991,SYR,BWI,20
1992,CLT,EWR,10
1992,PHX,IND,22
2006,CLT,SYR,1
2007,ABQ,TUS,1
2007,DAL,AUS,6
1989,MCO,ORD,31
1994,CLT,CAE,22
2001,LGA,PIT,5
2006,CLT,ORD,5
2007,LAS,MCO,1
2008,LAS,PDX,3
2008,MDW,ALB,2
1990,PIT,CMH,21
1992,DCA,GSO,14
2003,DEN,SEA,5
2005,SAT,ORD,13
2006,CLT,EWR,8
2006,RIC,CLT,1
2007,ABQ,PDX,1
2007,BUR,LAS,7
2007,CMH,LAS,1
2007,ELP,HOU,1
2008,MAF,ABQ,1
1996,DFW,PHX,209
2002,RDU,CLT,32
2007,STL,SDF,2
2007,AMA,ABQ,1
2007,IAD,MDW,3
2008,MDW,LIT,1
2008,ORF,MDW,2
1993,TPA,IND,18
1993,SFO,PIT,39
1996,AUS,PHX,86
2002,SJU,CLT,4
2006,GEG,PHX,1
2007,LBB,ELP,1
2008,LAS,MSY,1
1987,LAS,SNA,27
1988,SFO,SAN,5
