Year,UniqueCarrier,count
1999,WN,130
1993,US,565
1997,HP,239
1989,UA,550
1998,DL,19
1997,DL,105
1996,AA,86
1999,UA,18
1999,TW,52
2000,WN,127
1997,UA,94
2000,HP,238
1998,AA,50
1999,US,306
1996,WN,77
2002,US,385
1994,US,560
2000,CO,14
1995,UA,45
1997,US,5
2008,WN,769
1996,CO,10
2000,US,6
2001,US,326
2004,UA,448
1999,DL,28
1990,US,698
2000,DL,43
1996,US,24
2000,UA,66
1987,PS,769
1996,HP,219
1998,CO,7
1999,HP,52
1995,US,463
1988,PI,248
1995,AA,30
1988,PS,284
1996,UA,90
1998,UA,99
2006,US,403
1992,US,516
1997,CO,11
1998,WN,50
1991,US,478
1996,DL,113
2003,UA,278
2005,UA,481
2007,WN,499
1998,HP,135
1999,AA,9
1997,WN,163
1995,TW,56
1998,US,9
