Year,UniqueCarrier,Origin,Dest,count
1989,UA,LIH,HNL,30
1991,US,BWI,TPA,31
1993,US,DCA,PIT,30
2000,WN,BHM,PHX,31
2002,US,PHL,SEA,31
2006,US,JFK,PHX,3
2006,US,LAS,FLL,1
2006,US,LAS,SMF,3
2006,US,ORD,LAS,3
2006,US,PHX,BOI,2
2006,US,PHX,HNL,1
2006,US,PHX,LAX,10
2007,WN,DEN,PHX,6
2008,WN,LAX,OAK,21
2008,WN,MSY,MCO,4
2008,WN,OAK,SEA,8
2008,WN,PHL,FLL,3
1987,PS,SCK,LAX,21
1989,UA,CMH,ORD,2
1996,DL,ATL,PHX,127
2003,UA,BOI,DEN,56
2003,UA,DEN,SFO,6
2006,US,CLE,CLT,2
2006,US,CLT,BOS,18
2006,US,PHL,IND,2
2006,US,PHX,SMF,5
2007,WN,BNA,OAK,1
2008,WN,PDX,MDW,2
2008,WN,SAN,MDW,5
1991,US,PHL,BOS,26
1994,US,BWI,BDL,4
1997,WN,ABQ,PHX,155
2005,UA,DEN,SAT,4
2006,US,ROC,CLT,1
2006,US,ELP,LAS,1
2007,WN,ISP,BWI,9
2007,WN,LAS,OMA,3
2007,WN,MCO,ABQ,2
2008,WN,LAX,ABQ,4
2008,WN,MDW,TPA,7
1988,PS,SCK,LAX,15
1994,US,MIA,PIT,28
2003,UA,DEN,MCI,31
2004,UA,DEN,OMA,25
2004,UA,DEN,SNA,31
2005,UA,OAK,DEN,5
2006,US,PHL,PHX,4
2007,WN,BNA,BWI,8
2007,WN,FLL,STL,1
2007,WN,IND,LAS,2
2007,WN,LAX,PHL,2
2007,WN,LAX,PHX,14
2007,WN,LAX,STL,1
2008,WN,MDW,PVD,4
2008,WN,PHX,RDU,1
2008,WN,SEA,LAS,4
1993,US,PHL,RDU,18
1994,US,DCA,BUF,26
1994,US,RIC,PIT,4
1994,US,PIT,BWI,58
1997,WN,BUR,PHX,207
2006,US,DCA,TPA,8
2007,WN,BWI,PBI,4
2008,WN,OAK,LAX,21
2008,WN,SAN,SJC,10
2008,WN,SJC,BUR,10
1989,UA,SFO,LAX,27
1991,US,PIT,BGM,31
1991,US,PBI,PIT,30
2001,US,DCA,CLT,29
2002,US,DCA,PHL,31
2004,UA,LAS,LAX,25
2004,UA,ORD,SNA,12
2005,UA,SNA,DEN,22
2006,US,IND,PHL,1
1991,US,PIT,PVD,24
1992,US,STL,CLT,5
2001,US,PHL,PIT,58
2004,UA,EWR,DEN,25
2005,UA,DSM,DEN,10
2005,UA,ORD,DCA,52
2006,US,FLL,PHL,14
2007,WN,JAX,BWI,3
2007,WN,LAS,GEG,2
2007,WN,MCO,IND,1
2008,WN,LAX,LAS,14
2008,WN,MSY,FLL,1
2008,WN,OKC,MCI,4
1998,WN,BNA,PHX,62
2002,US,CLT,PNS,31
2002,US,CLT,MYR,5
2006,US,ONT,PHX,4
2006,US,PHL,TPA,7
2006,US,PIT,DCA,3
2007,WN,DAL,SAT,15
2007,WN,DEN,MCI,4
2007,WN,ELP,ABQ,3
2007,WN,HOU,ELP,3
1988,PS,SAN,LAS,28
1991,US,STL,PIT,61
1994,US,ROC,EWR,4
2000,HP,AUS,PHX,150
2003,UA,SLC,DEN,6
2004,UA,SMF,DEN,31
2004,UA,SEA,ORD,43
2006,US,LGA,DCA,16
2007,WN,BNA,FLL,2
2008,WN,MCI,MCO,3
2008,WN,PDX,ABQ,1
2008,WN,PHX,RNO,3
2008,WN,SAT,MDW,2
1989,UA,LAX,HNL,93
1990,US,PIT,EWR,29
1997,HP,BOS,PHX,62
1998,CO,CLE,PHX,62
1998,AA,DFW,PHX,259
2001,US,CLT,ROA,55
2001,US,IAH,PIT,31
2006,US,MHT,PHL,3
2006,US,OAK,LAS,2
2006,US,PHL,BUF,3
2006,US,PHX,SLC,4
2006,US,ABQ,PHX,5
2007,WN,ABQ,MAF,1
2007,WN,BUF,TPA,1
2007,WN,LAS,BHM,1
2008,WN,MCO,BDL,3
1988,PS,SFO,SAN,8
1991,US,DCA,PIT,23
2001,US,PIT,ORD,27
2005,UA,ORD,ATL,27
2006,US,BOS,DCA,30
2006,US,DCA,DFW,6
2006,US,PHL,ALB,3
2006,US,RDU,PHX,1
2006,US,SEA,PHX,5
2007,WN,TUS,LAS,6
2007,WN,BWI,RDU,6
2008,WN,MDW,IND,4
2008,WN,PVD,LAS,1
1991,US,CLT,BWI,7
1992,US,MIA,MCO,6
1992,US,MCI,ICT,25
1993,US,PIT,FLL,31
